Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Apotheke am Postplatz,Unknown,Postplatz,Schaan,9494,Unknown,Liechtenstein,pharmacy,pharmacy,+423 233 55 55,https://www.dieapotheke.li/,Mo-Fr 07:30-18:30; Sa 08:00-15:00,47.1678945,9.5084709
TopPharm Apotheke,Unknown,Landstrasse,Schaan,9494,Unknown,Liechtenstein,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,47.1611631,9.5089798
Schloss Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:30; Sa 08:00-15:00; Su 10:00-11:30,47.1386132,9.5214334
Dr. Med. Thomas Felkel - Cardiology and Inner Medicine,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,doctor,Unknown,https://ww.cardio.li,Unknown,47.1639616,9.5081289
Dr. Med. Martin Schädler - Dentist,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,Healthcare Services,Unknown,Unknown,Unknown,47.1640868,9.5079962
Dr. Med. Edward van Frank - Orthopedic Surgeon,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,Healthcare Services,Unknown,Unknown,Unknown,47.1639099,9.5081196
Dr. Med. Wolfgang Meyer -Traumatic and Orthopedic Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,Healthcare Services,Unknown,Unknown,Unknown,47.164023,9.5079962
Dr. Med. Michael Köhler - Psychatry,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,Healthcare Services,Unknown,Unknown,Unknown,47.1639498,9.5080022
Apotheke am Sonnenplatz,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,pharmacy,pharmacy,+423 234 01 01,https://www.apotheke-am-sonnenplatz.li/,"Mo-Fr 08:00-19:00; Sa 08:00-16:00; Su,PH 08:00-12:00",47.1090896,9.525651
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,dentist,dentist,Unknown,Unknown,Unknown,47.1092621,9.5260926
Osteopathie Gunther Barthy,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,doctor,Unknown,Unknown,Unknown,47.1842822,9.5439252
Praxis für die Frau - Dr. Bernhard Desch,Unknown,Unknown,Unknown,Unknown,Unknown,Liechtenstein,doctors,Healthcare Services,Unknown,Unknown,Unknown,47.1509319,9.5110676
